City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila Velha,-20.3297,-40.2925,71.6,78,75,8.05,BR,2021-04-30 01:54:17
1,Ponta Do Sol,32.6667,-17.1,55.99,80,31,3.0,PT,2021-04-30 01:54:17
2,Apomu,7.3333,4.1833,72.36,96,100,2.3,NG,2021-04-30 01:54:17
3,Hovd,48.0056,91.6419,64.0,27,86,6.53,MN,2021-04-30 01:52:25
4,Rikitea,-23.1203,-134.9692,77.05,63,77,12.84,PF,2021-04-30 01:54:18
5,Kapaa,22.0752,-159.319,78.8,57,20,9.22,US,2021-04-30 01:53:58
6,Assiniboia,49.6334,-105.9845,55.4,30,97,14.97,CA,2021-04-30 01:51:18
7,Salalah,17.0151,54.0924,82.4,83,75,3.44,OM,2021-04-30 01:52:38
8,Neryungri,56.6709,124.6491,33.01,99,100,4.47,RU,2021-04-30 01:54:18
9,Hamilton,39.1834,-84.5333,57.99,82,55,7.56,US,2021-04-30 01:54:18
10,Albany,42.6001,-73.9662,55.99,90,100,7.05,US,2021-04-30 01:52:36
11,Barrow,71.2906,-156.7887,19.4,86,90,5.75,US,2021-04-30 01:50:38
12,Castro,-24.7911,-50.0119,49.66,97,4,4.56,BR,2021-04-30 01:53:57
13,Pisco,-13.7,-76.2167,66.99,88,0,8.05,PE,2021-04-30 01:54:19
14,Hermanus,-34.4187,19.2345,48.99,93,58,3.44,ZA,2021-04-30 01:49:55
15,Yellowknife,62.456,-114.3525,30.2,51,75,9.22,CA,2021-04-30 01:54:19
16,Half Moon Bay,37.4636,-122.4286,64.0,82,40,12.66,US,2021-04-30 01:50:17
17,Bredasdorp,-34.5322,20.0403,48.2,93,5,5.75,ZA,2021-04-30 01:54:19
18,Hasaki,35.7333,140.8333,75.99,43,20,6.91,JP,2021-04-30 01:54:20
19,Busselton,-33.65,115.3333,57.0,86,9,1.01,AU,2021-04-30 01:53:53
20,Elizabeth City,36.2946,-76.2511,75.99,69,1,16.11,US,2021-04-30 01:54:20
21,Avarua,-21.2078,-159.775,84.2,79,40,9.22,CK,2021-04-30 01:54:20
22,New Norfolk,-42.7826,147.0587,66.0,70,8,4.0,AU,2021-04-30 01:54:21
23,Paita,-5.0892,-81.1144,69.67,79,5,13.85,PE,2021-04-30 01:54:21
24,Tuktoyaktuk,69.4541,-133.0374,28.4,74,1,13.8,CA,2021-04-30 01:49:27
25,San Patricio,28.017,-97.5169,78.01,100,75,6.91,US,2021-04-30 01:52:09
26,Mahajanga,-15.7167,46.3167,75.2,83,20,4.61,MG,2021-04-30 01:54:21
27,Jeremoabo,-10.075,-38.4808,68.79,96,68,4.99,BR,2021-04-30 01:54:22
28,Longyearbyen,78.2186,15.6401,19.4,63,40,12.66,SJ,2021-04-30 01:49:45
29,Mezen,65.8522,44.24,27.64,90,100,5.7,RU,2021-04-30 01:54:22
30,Constitucion,-35.3333,-72.4167,54.79,90,52,2.68,CL,2021-04-30 01:54:22
31,Jieshi,22.8134,115.8257,74.35,73,86,2.24,CN,2021-04-30 01:54:22
32,Mataura,-46.1927,168.8643,55.0,69,34,15.01,NZ,2021-04-30 01:54:23
33,Peachland,49.7665,-119.7357,64.4,52,100,1.14,CA,2021-04-30 01:54:23
34,Ambilobe,-13.2,49.05,72.03,92,10,3.06,MG,2021-04-30 01:54:23
35,Lesosibirsk,58.2358,92.4828,40.08,87,100,13.2,RU,2021-04-30 01:54:24
36,Gazli,40.1333,63.45,67.19,68,100,15.73,UZ,2021-04-30 01:54:24
37,Alta Floresta,-9.8756,-56.0861,70.2,96,73,1.99,BR,2021-04-30 01:53:52
38,Nome,64.5011,-165.4064,28.4,64,75,16.11,US,2021-04-30 01:54:24
39,Bengkulu,-3.8004,102.2655,78.94,81,96,2.28,ID,2021-04-30 01:53:58
40,Henties Bay,-22.116,14.2845,55.0,86,0,1.99,NA,2021-04-30 01:50:07
41,Jatibonico,21.9419,-79.17,77.09,70,44,8.21,CU,2021-04-30 01:54:25
42,Port Elizabeth,-33.918,25.5701,55.99,95,97,1.01,ZA,2021-04-30 01:54:25
43,Norman Wells,65.282,-126.8329,46.4,27,20,5.75,CA,2021-04-30 01:54:25
44,Bonavista,48.6499,-53.1147,41.0,87,100,9.22,CA,2021-04-30 01:54:25
45,Qaanaaq,77.484,-69.3632,25.36,62,100,10.04,GL,2021-04-30 01:54:26
46,Saskylakh,71.9167,114.0833,33.49,94,100,8.12,RU,2021-04-30 01:54:26
47,Port Alfred,-33.5906,26.891,62.58,70,100,11.92,ZA,2021-04-30 01:53:56
48,Banda Aceh,5.5577,95.3222,82.71,72,100,0.58,ID,2021-04-30 01:54:26
49,Rosetta,31.4044,30.4164,66.2,77,0,3.44,EG,2021-04-30 01:54:27
50,Rawson,-43.3002,-65.1023,64.04,54,100,3.62,AR,2021-04-30 01:54:27
51,Tigil,57.8,158.6667,43.81,73,22,4.74,RU,2021-04-30 01:54:27
52,Upernavik,72.7868,-56.1549,23.22,63,100,4.25,GL,2021-04-30 01:54:03
53,Hithadhoo,-0.6,73.0833,83.53,72,81,6.08,MV,2021-04-30 01:54:28
54,Requena,39.4883,-1.1004,64.0,84,57,4.94,ES,2021-04-30 01:54:28
55,Broome,42.2506,-75.833,57.0,100,90,5.75,US,2021-04-30 01:54:28
56,Ushuaia,-54.8,-68.3,39.2,70,75,3.6,AR,2021-04-30 01:50:05
57,Vaini,-21.2,-175.2,75.2,100,75,11.5,TO,2021-04-30 01:54:29
58,Butaritari,3.0707,172.7902,83.82,71,100,12.86,KI,2021-04-30 01:49:45
59,East London,-33.0153,27.9116,63.93,77,100,13.02,ZA,2021-04-30 01:54:29
60,Hilo,19.7297,-155.09,82.4,57,1,8.05,US,2021-04-30 01:50:21
61,Maldonado,-34.6667,-54.9167,60.01,94,0,4.61,UY,2021-04-30 01:54:29
62,Itarema,-2.9248,-39.9167,77.14,82,100,8.03,BR,2021-04-30 01:54:30
63,Rocha,-34.4833,-54.3333,54.59,84,0,4.59,UY,2021-04-30 01:54:30
64,Price,39.5994,-110.8107,73.4,17,1,12.66,US,2021-04-30 01:54:30
65,Plouzane,48.3833,-4.6167,44.6,87,0,6.91,FR,2021-04-30 01:54:31
66,Georgetown,5.4112,100.3354,86.0,83,20,4.61,MY,2021-04-30 01:50:01
67,Makakilo City,21.3469,-158.0858,84.2,54,90,13.8,US,2021-04-30 01:54:31
68,Kodiak,57.79,-152.4072,42.8,81,90,3.44,US,2021-04-30 01:54:31
69,Isangel,-19.55,169.2667,78.8,83,75,8.05,VU,2021-04-30 01:54:32
70,Punta Arenas,-53.15,-70.9167,42.8,93,90,12.66,CL,2021-04-30 01:54:10
71,Mwinilunga,-11.7358,24.4293,61.54,93,94,3.24,ZM,2021-04-30 01:54:32
72,Port-Gentil,-0.7193,8.7815,77.77,87,100,9.33,GA,2021-04-30 01:54:32
73,Pucallpa,-8.3791,-74.5539,75.2,69,20,4.61,PE,2021-04-30 01:54:32
74,Hobart,-42.8794,147.3294,66.0,67,20,10.36,AU,2021-04-30 01:53:04
75,Sept-Iles,50.2001,-66.3821,44.01,70,75,2.3,CA,2021-04-30 01:54:33
76,Nemuro,43.3236,145.575,39.2,100,75,17.27,JP,2021-04-30 01:54:33
77,Cape Town,-33.9258,18.4232,59.0,93,0,5.75,ZA,2021-04-30 01:50:17
78,Portland,45.5234,-122.6762,80.6,28,75,8.05,US,2021-04-30 01:51:54
79,San Cristobal,7.7669,-72.225,75.2,100,75,3.44,VE,2021-04-30 01:50:45
80,Saint Anthony,45.0205,-93.218,64.4,31,75,6.91,US,2021-04-30 01:53:56
81,Grindavik,63.8424,-22.4338,41.0,81,90,5.75,IS,2021-04-30 01:54:34
82,Ilhabela,-23.7781,-45.3581,68.43,80,48,2.39,BR,2021-04-30 01:54:34
83,Bluff,-46.6,168.3333,55.0,69,29,15.01,NZ,2021-04-30 01:54:34
84,Triel-Sur-Seine,48.9782,2.0074,46.99,70,0,6.91,FR,2021-04-30 01:54:34
85,Ancud,-41.8697,-73.8203,57.0,94,20,18.41,CL,2021-04-30 01:54:35
86,Eirunepe,-6.6603,-69.8736,71.26,97,81,2.01,BR,2021-04-30 01:54:35
87,Saint-Raymond,45.467,-73.6095,59.0,72,100,3.44,CA,2021-04-30 01:52:48
88,Flinders,-34.5833,150.8552,73.0,59,1,3.0,AU,2021-04-30 01:51:35
89,Alihe,50.5667,123.7167,38.66,94,100,6.55,CN,2021-04-30 01:54:35
90,Vestmannaeyjar,63.4427,-20.2734,43.14,77,93,6.08,IS,2021-04-30 01:54:36
91,Oktyabrskoye,43.0645,44.7417,44.6,100,20,4.47,RU,2021-04-30 01:54:36
92,Carnarvon,-24.8667,113.6333,75.2,69,40,16.11,AU,2021-04-30 01:54:36
93,Manoel Urbano,-8.8389,-69.2597,73.27,82,91,2.26,BR,2021-04-30 01:54:37
94,Lebu,-37.6167,-73.65,55.06,95,100,7.99,CL,2021-04-30 01:54:37
95,Jamestown,42.097,-79.2353,48.0,93,90,5.75,US,2021-04-30 01:54:37
96,Bethel,41.3712,-73.414,68.0,77,75,5.75,US,2021-04-30 01:54:37
97,Kavieng,-2.5744,150.7967,84.7,69,49,8.93,PG,2021-04-30 01:54:38
98,Bezhta,42.1338,46.1283,45.01,95,99,3.18,RU,2021-04-30 01:54:38
99,Komsomolskiy,40.4272,71.7189,66.2,30,0,4.61,UZ,2021-04-30 01:54:38
100,Sistranda,63.7256,8.834,33.8,93,75,5.75,NO,2021-04-30 01:54:39
101,Bambous Virieux,-20.3428,57.7575,77.0,83,75,8.05,MU,2021-04-30 01:54:39
102,Waingapu,-9.6567,120.2641,84.27,70,60,7.76,ID,2021-04-30 01:54:39
103,Severo-Kurilsk,50.6789,156.125,39.56,79,19,6.42,RU,2021-04-30 01:54:39
104,Kaitangata,-46.2817,169.8464,55.0,62,62,13.0,NZ,2021-04-30 01:53:52
105,Atuona,-9.8,-139.0333,79.34,69,13,4.43,PF,2021-04-30 01:54:40
106,San Lawrenz,36.0553,14.204,62.01,100,40,4.61,MT,2021-04-30 01:54:40
107,Ilulissat,69.2167,-51.1,33.8,75,100,2.3,GL,2021-04-30 01:54:40
108,Ahipara,-35.1667,173.1667,65.37,63,10,7.18,NZ,2021-04-30 01:54:41
109,Meadow Lake,34.8014,-106.5436,71.6,15,20,18.41,US,2021-04-30 01:54:41
110,Carbonear,47.7332,-53.2148,37.0,7,88,6.58,CA,2021-04-30 01:54:41
111,Ketchikan,55.3422,-131.6461,48.2,93,90,13.8,US,2021-04-30 01:54:42
112,Hastings,50.8552,0.5729,42.01,73,89,1.99,GB,2021-04-30 01:54:42
113,Rzeszow,50.0413,21.999,52.0,87,0,3.44,PL,2021-04-30 01:51:12
114,Kadiri,14.1167,78.1667,83.43,47,1,2.46,IN,2021-04-30 01:54:42
115,Chernyshevskiy,63.0128,112.4714,33.57,85,100,7.54,RU,2021-04-30 01:54:42
116,Pevek,69.7008,170.3133,21.61,85,100,8.41,RU,2021-04-30 01:54:43
117,Thompson,55.7435,-97.8558,32.0,43,20,13.8,CA,2021-04-30 01:54:43
118,Tuatapere,-46.1333,167.6833,55.0,69,57,15.01,NZ,2021-04-30 01:54:43
119,Ivanovo,56.9942,40.9858,35.65,86,98,5.86,RU,2021-04-30 01:54:44
120,Lorengau,-2.0226,147.2712,84.49,72,99,3.36,PG,2021-04-30 01:54:29
121,Leningradskiy,69.3833,178.4167,25.61,82,97,17.54,RU,2021-04-30 01:51:35
122,Lavrentiya,65.5833,-171.0,27.93,70,35,4.85,RU,2021-04-30 01:54:44
123,Gairo,39.8497,9.5047,59.0,88,0,3.44,IT,2021-04-30 01:54:44
124,Cherskiy,68.75,161.3,20.73,84,85,11.77,RU,2021-04-30 01:54:45
125,Port Blair,11.6667,92.75,83.62,70,100,5.68,IN,2021-04-30 01:54:45
126,Linguere,15.3953,-15.1193,76.01,34,11,16.02,SN,2021-04-30 01:54:45
127,Saint-Pierre,-21.3393,55.4781,73.4,83,90,17.27,RE,2021-04-30 01:50:00
128,Narsaq,60.9167,-46.05,35.6,80,20,2.3,GL,2021-04-30 01:54:46
129,Brae,60.3964,-1.353,37.4,87,20,9.22,GB,2021-04-30 01:54:46
130,Kampene,-3.6,26.6667,68.45,98,100,1.83,CD,2021-04-30 01:54:46
131,Nisia Floresta,-6.0911,-35.2086,77.0,94,75,5.75,BR,2021-04-30 01:54:46
132,Seoul,37.5683,126.9778,55.4,67,75,2.3,KR,2021-04-30 01:53:42
133,Srednekolymsk,67.45,153.6833,30.79,95,100,5.7,RU,2021-04-30 01:54:47
134,Lompoc,34.6391,-120.4579,64.99,77,13,12.66,US,2021-04-30 01:52:24
135,Songjianghe,42.1859,127.479,54.55,27,12,5.35,CN,2021-04-30 01:54:47
136,Ostrovnoy,68.0531,39.5131,25.38,87,100,18.99,RU,2021-04-30 01:54:47
137,Dikson,73.5069,80.5464,7.14,94,73,8.16,RU,2021-04-30 01:54:48
138,Porto Santo,33.072,-16.3415,60.8,63,40,9.22,PT,2021-04-30 01:54:48
139,Sebina,-20.8667,27.25,64.4,71,22,6.8,BW,2021-04-30 01:54:48
140,Cabo San Lucas,22.8909,-109.9124,75.2,38,1,11.5,MX,2021-04-30 01:54:49
141,Airai,-8.9266,125.4092,73.92,56,11,3.51,TL,2021-04-30 01:54:49
142,Hwange,-18.3693,26.5019,66.31,70,4,1.63,ZW,2021-04-30 01:54:49
143,Esperance,-33.8667,121.9,59.0,82,90,17.27,AU,2021-04-30 01:50:15
144,Kaseda,31.4167,130.3167,71.6,60,75,17.27,JP,2021-04-30 01:54:49
145,Pemba,-12.974,40.5178,75.2,94,20,6.91,MZ,2021-04-30 01:54:50
146,Dickinson,29.4608,-95.0513,77.0,100,90,9.22,US,2021-04-30 01:54:50
147,Umm Lajj,25.0213,37.2685,84.52,40,6,8.77,SA,2021-04-30 01:50:00
148,Tongren,27.7172,109.1853,77.41,56,3,4.05,CN,2021-04-30 01:54:50
149,Dergachi,51.2328,48.7659,44.26,67,52,3.42,RU,2021-04-30 01:54:51
150,Sao Filipe,14.8961,-24.4956,72.99,75,96,6.29,CV,2021-04-30 01:54:51
151,Mbigou,-1.9005,11.906,67.95,98,100,1.43,GA,2021-04-30 01:54:51
152,Hirara,24.8,125.2833,77.0,69,20,5.75,JP,2021-04-30 01:54:52
153,Chokurdakh,70.6333,147.9167,18.14,85,12,4.88,RU,2021-04-30 01:54:48
154,Urucui,-7.2294,-44.5561,77.83,71,94,3.2,BR,2021-04-30 01:54:52
155,Aykhal,66.0,111.5,28.92,91,69,7.02,RU,2021-04-30 01:54:52
156,Olga,43.7444,135.2892,51.13,49,100,11.92,RU,2021-04-30 01:54:52
157,Matam,15.6175,-13.3303,88.45,19,3,19.15,SN,2021-04-30 01:54:53
158,Salym,60.0625,71.4789,40.59,82,80,8.7,RU,2021-04-30 01:54:53
159,Hami,42.8,93.45,75.09,13,3,7.36,CN,2021-04-30 01:54:53
160,Montale,43.9356,11.0171,60.01,95,95,1.01,IT,2021-04-30 01:54:54
161,Sur,22.5667,59.5289,85.42,49,100,2.66,OM,2021-04-30 01:54:54
162,Erzurum,40.0,41.5,37.4,93,40,2.3,TR,2021-04-30 01:54:54
163,Naze,28.3667,129.4833,71.6,68,40,3.44,JP,2021-04-30 01:54:55
164,Riyadh,24.6877,46.7219,71.6,28,0,3.44,SA,2021-04-30 01:53:56
165,Nabire,-3.3667,135.4833,85.84,65,100,1.77,ID,2021-04-30 01:54:55
166,Hofn,64.2539,-15.2082,39.31,64,16,7.38,IS,2021-04-30 01:53:54
167,Rio Grande,-32.035,-52.0986,60.96,79,1,5.93,BR,2021-04-30 01:54:55
168,Puerto Ayora,-0.7393,-90.3518,75.04,87,16,7.74,EC,2021-04-30 01:54:56
169,Kirakira,-10.4544,161.9205,84.2,70,22,9.24,SB,2021-04-30 01:54:56
170,Cap Malheureux,-19.9842,57.6142,73.99,90,19,5.01,MU,2021-04-30 01:54:56
171,Misratah,32.3754,15.0925,76.77,45,3,7.56,LY,2021-04-30 01:54:56
172,Alur,12.9833,75.9833,74.75,60,21,2.55,IN,2021-04-30 01:54:57
173,Nikolskoye,59.7035,30.7861,32.0,74,0,4.47,RU,2021-04-30 01:54:57
174,Rio Gallegos,-51.6226,-69.2181,44.6,93,40,8.05,AR,2021-04-30 01:54:57
175,Takoradi,4.8845,-1.7554,79.97,81,99,3.74,GH,2021-04-30 01:54:58
176,Tiznit,29.5833,-9.5,55.6,83,0,2.48,MA,2021-04-30 01:54:28
177,Srem,52.0887,17.0151,46.99,91,100,4.0,PL,2021-04-30 01:54:58
178,Bairiki,1.3292,172.9752,87.8,70,75,10.36,KI,2021-04-30 01:54:58
179,Arrecife,28.963,-13.5477,66.2,72,40,4.61,ES,2021-04-30 01:54:59
180,Sitka,57.0531,-135.33,44.6,93,75,13.8,US,2021-04-30 01:54:59
181,Villa Bruzual,9.3328,-69.1208,71.1,95,100,3.29,VE,2021-04-30 01:54:59
182,Ribeira Grande,38.5167,-28.7,57.67,64,100,7.67,PT,2021-04-30 01:55:00
183,Barentu,15.1139,37.5928,78.44,51,89,3.02,ER,2021-04-30 01:55:00
184,Paveh,35.0434,46.3565,55.49,50,0,4.18,IR,2021-04-30 01:55:00
185,Tasiilaq,65.6145,-37.6368,32.0,86,100,16.11,GL,2021-04-30 01:54:31
186,Samarai,-10.6167,150.6667,81.18,76,53,10.02,PG,2021-04-30 01:55:00
187,Karratha,-20.7377,116.8463,90.77,20,0,8.79,AU,2021-04-30 01:50:09
188,Saldanha,-33.0117,17.9442,60.1,73,0,18.1,ZA,2021-04-30 01:55:01
189,Yafran,32.0633,12.5286,76.14,23,74,12.71,LY,2021-04-30 01:55:01
190,Mar Del Plata,-38.0023,-57.5575,61.0,82,0,6.91,AR,2021-04-30 01:55:01
191,La Ronge,55.1001,-105.2842,41.0,26,12,6.91,CA,2021-04-30 01:55:02
192,Umm Kaddadah,13.6017,26.6876,75.45,72,100,7.47,SD,2021-04-30 01:55:02
193,Khatanga,71.9667,102.5,32.4,97,100,7.09,RU,2021-04-30 01:55:02
194,Alice Springs,-23.7,133.8833,73.99,23,0,12.66,AU,2021-04-30 01:55:03
195,Shenjiamen,29.9576,122.298,65.53,74,0,8.08,CN,2021-04-30 01:51:02
196,Lethem,3.3803,-59.7968,76.86,82,38,8.05,GY,2021-04-30 01:55:03
197,Namatanai,-3.6667,152.4333,86.11,65,78,1.77,PG,2021-04-30 01:55:03
198,Trincomalee,8.5711,81.2335,80.78,80,70,4.59,LK,2021-04-30 01:50:13
199,Havre-Saint-Pierre,50.2334,-63.5986,39.2,93,90,4.61,CA,2021-04-30 01:55:04
200,Vilhena,-12.7406,-60.1458,65.16,88,100,3.27,BR,2021-04-30 01:55:04
201,Porangatu,-13.4408,-49.1486,72.88,81,100,2.59,BR,2021-04-30 01:55:04
202,Anloga,5.7947,0.8973,80.6,89,20,4.61,GH,2021-04-30 01:55:05
203,Karaton,-6.3424,106.1045,87.01,65,0,5.75,ID,2021-04-30 01:55:05
204,Teya,60.3778,92.6267,36.86,93,100,10.02,RU,2021-04-30 01:55:05
205,Southampton,50.904,-1.4043,45.0,1,68,6.33,GB,2021-04-30 01:50:06
206,Ishigaki,24.3448,124.1572,77.0,65,20,5.75,JP,2021-04-30 01:55:06
207,Pyshma,56.9523,63.2513,39.87,79,80,9.28,RU,2021-04-30 01:55:06
208,Los Llanos De Aridane,28.6585,-17.9182,64.4,72,40,4.61,ES,2021-04-30 01:55:06
209,Saint-Augustin,51.226,-58.6502,41.05,85,100,3.58,CA,2021-04-30 01:55:07
210,Santa Cruz,-17.8,-63.1667,66.2,68,1,4.61,BO,2021-04-30 01:50:26
211,Road Town,18.4167,-64.6167,78.01,88,40,4.61,VG,2021-04-30 01:54:52
212,Torbay,47.6666,-52.7314,37.99,81,1,8.05,CA,2021-04-30 01:55:07
213,Barnbach,47.0333,15.85,54.0,82,100,2.59,AT,2021-04-30 01:55:07
214,Aktau,43.65,51.2,55.4,54,0,8.95,KZ,2021-04-30 01:55:07
215,Huarmey,-10.0681,-78.1522,68.14,83,0,8.68,PE,2021-04-30 01:55:08
216,North Bend,43.4065,-124.2243,57.0,76,1,8.05,US,2021-04-30 01:55:08
217,Springfield,37.2153,-93.2982,62.6,55,1,6.91,US,2021-04-30 01:55:08
218,Washim,20.1,77.15,87.19,27,44,12.12,IN,2021-04-30 01:55:09
219,Pitimbu,-7.4706,-34.8086,75.2,100,40,4.61,BR,2021-04-30 01:54:06
220,Kasongo-Lunda,-6.4667,16.8167,70.14,97,100,0.78,CD,2021-04-30 01:55:09
221,Imbituba,-28.24,-48.6703,66.2,82,0,4.61,BR,2021-04-30 01:55:09
222,Chitral,35.8462,71.7858,62.51,43,2,4.52,PK,2021-04-30 01:55:10
223,Laguna,38.421,-121.4238,87.8,16,1,6.91,US,2021-04-30 01:55:10
224,Sioux Lookout,50.1001,-91.917,37.4,65,90,12.66,CA,2021-04-30 01:55:10
225,Karpogory,64.0019,44.4451,30.11,81,93,5.32,RU,2021-04-30 01:55:11
226,San Matias,-16.3667,-58.4,69.93,55,100,4.23,BO,2021-04-30 01:55:11
227,Dalby,-27.1833,151.2667,75.0,50,43,3.0,AU,2021-04-30 01:55:11
228,Norden,53.6,7.2,45.0,90,100,1.01,DE,2021-04-30 01:55:12
229,Ust-Koksa,50.2696,85.6108,57.63,55,100,3.56,RU,2021-04-30 01:55:12
230,Solnechnyy,50.7214,136.6319,38.12,69,89,9.53,RU,2021-04-30 01:55:12
231,Tual,-5.6667,132.75,82.87,69,100,4.83,ID,2021-04-30 01:55:12
232,Vao,-22.6667,167.4833,74.95,57,94,21.25,NC,2021-04-30 01:55:13
233,Bowen,-20.0167,148.2333,78.8,65,40,17.27,AU,2021-04-30 01:50:55
234,Mahebourg,-20.4081,57.7,77.0,83,75,8.05,MU,2021-04-30 01:55:13
235,Lasa,46.6166,10.7002,46.0,87,75,5.75,IT,2021-04-30 01:50:19
236,Tessalit,20.1986,1.0114,89.02,9,23,8.3,ML,2021-04-30 01:55:13
237,Buenaventura,3.8801,-77.0312,64.0,77,90,2.19,CO,2021-04-30 01:55:14
238,Hobyo,5.3505,48.5268,83.82,69,78,5.95,SO,2021-04-30 01:54:47
239,Gouyave,12.1646,-61.7296,75.2,94,75,8.7,GD,2021-04-30 01:55:14
240,Gorontalo,0.5412,123.0595,89.13,57,34,3.09,ID,2021-04-30 01:55:14
241,Adrar,20.5022,-10.0711,75.85,40,4,9.22,MR,2021-04-30 01:53:59
242,Fairbanks,64.8378,-147.7164,48.2,53,90,11.5,US,2021-04-30 01:55:15
243,Sola,-13.8833,167.55,81.55,65,80,20.89,VU,2021-04-30 01:54:43
244,Bilma,18.6853,12.9164,84.07,7,0,8.97,NE,2021-04-30 01:55:15
245,Bandrele,-12.9067,45.1914,80.6,83,0,3.44,YT,2021-04-30 01:55:15
246,Maceio,-9.6658,-35.7353,75.2,94,40,3.44,BR,2021-04-30 01:55:03
247,Sayyan,15.1718,44.3244,56.66,73,56,3.02,YE,2021-04-30 01:55:16
248,Oum Hadjer,13.2954,19.6966,81.93,8,18,10.27,TD,2021-04-30 01:55:16
249,Shebunino,46.4339,141.8603,45.95,69,100,11.1,RU,2021-04-30 01:55:16
250,Kruisfontein,-34.0033,24.7314,55.99,95,100,1.01,ZA,2021-04-30 01:55:16
251,South Lake Tahoe,38.9332,-119.9844,78.8,30,1,9.22,US,2021-04-30 01:55:17
252,Vitorino Freire,-4.0667,-45.1667,73.56,96,100,2.57,BR,2021-04-30 01:55:17
253,Hambantota,6.1241,81.1185,80.78,80,88,7.49,LK,2021-04-30 01:55:17
254,Letterkenny,54.95,-7.7333,35.55,84,52,1.05,IE,2021-04-30 01:55:18
255,Roebourne,-20.7833,117.1333,90.37,21,0,8.46,AU,2021-04-30 01:55:18
256,Bam,29.106,58.357,76.55,27,100,6.02,IR,2021-04-30 01:52:25
257,Caranavi,-15.8167,-67.55,58.59,87,81,2.59,BO,2021-04-30 01:55:18
258,Kijang,35.2442,129.2139,68.0,34,40,14.97,KR,2021-04-30 01:55:19
259,Necochea,-38.5473,-58.7368,57.99,86,60,11.01,AR,2021-04-30 01:55:19
260,Wanning,18.8003,110.3967,81.0,72,75,2.64,CN,2021-04-30 01:55:19
261,Iqaluit,63.7506,-68.5145,32.0,100,90,4.61,CA,2021-04-30 01:55:19
262,Esmeraldas,-19.7625,-44.3139,68.0,73,0,10.36,BR,2021-04-30 01:55:20
263,Kununurra,-15.7667,128.7333,89.6,29,0,10.36,AU,2021-04-30 01:54:15
264,Vanimo,-2.6741,141.3028,84.36,78,95,5.77,PG,2021-04-30 01:55:20
265,Cairns,-16.9167,145.7667,82.99,57,40,18.41,AU,2021-04-30 01:55:20
266,Kibre Mengist,5.8833,38.9833,58.87,96,100,2.37,ET,2021-04-30 01:55:21
267,Saint-Philippe,-21.3585,55.7679,73.4,83,90,17.27,RE,2021-04-30 01:54:02
268,Cidreira,-30.1811,-50.2056,64.76,75,0,5.97,BR,2021-04-30 01:50:29
269,Tiksi,71.6872,128.8694,32.02,82,89,5.14,RU,2021-04-30 01:54:57
270,Coquimbo,-29.9533,-71.3436,55.4,88,0,4.61,CL,2021-04-30 01:55:21
271,Ende,-8.8432,121.6623,84.94,66,18,3.22,ID,2021-04-30 01:55:21
272,Caravelas,-17.7125,-39.2481,76.66,70,100,11.07,BR,2021-04-30 01:55:14
273,Belyy Yar,53.6039,91.3903,42.8,100,75,2.24,RU,2021-04-30 01:55:22
274,Treuchtlingen,48.95,10.9167,42.8,100,40,1.14,DE,2021-04-30 01:55:22
275,Port Lincoln,-34.7333,135.8667,72.77,37,39,11.95,AU,2021-04-30 01:55:22
276,Geraldton,-28.7667,114.6,68.0,60,75,17.27,AU,2021-04-30 01:55:03
277,Ust-Nera,64.5667,143.2,36.54,97,99,1.77,RU,2021-04-30 01:50:45
278,Forest Acres,34.0193,-80.9898,78.8,44,1,6.91,US,2021-04-30 01:55:22
