City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Wanning,18.8003,110.3967,78.66,72,30,6.69,CN,2021-03-27 01:21:20
1,Vaini,-21.2,-175.2,84.2,79,40,10.36,TO,2021-03-27 01:21:20
2,Hermanus,-34.4187,19.2345,62.01,94,100,11.88,ZA,2021-03-27 01:21:20
3,Rikitea,-23.1203,-134.9692,78.73,73,14,18.19,PF,2021-03-27 01:21:20
4,Dikson,73.5069,80.5464,-7.04,100,100,10.49,RU,2021-03-27 01:21:21
5,Stromness,58.965,-3.296,32.0,93,97,4.61,GB,2021-03-27 01:21:21
6,Morros,-9.4467,-46.3003,72.48,84,100,1.92,BR,2021-03-27 01:21:21
7,Katsuura,35.1333,140.3,61.0,44,40,4.61,JP,2021-03-27 01:17:29
8,Albany,42.6001,-73.9662,48.99,56,100,1.99,US,2021-03-27 01:21:21
9,Barrow,71.2906,-156.7887,-9.4,77,1,4.45,US,2021-03-27 01:21:22
10,New Norfolk,-42.7826,147.0587,62.01,75,100,1.99,AU,2021-03-27 01:21:22
11,Seddon,-37.8068,144.8916,66.0,67,90,17.27,AU,2021-03-27 01:21:22
12,Nioro,13.35,-15.75,79.86,34,0,7.83,GM,2021-03-27 01:21:22
13,Mar del Plata,-38.0023,-57.5575,64.0,88,75,28.77,AR,2021-03-27 01:19:13
14,Puerto Ayora,-0.7393,-90.3518,79.0,86,49,1.99,EC,2021-03-27 01:21:23
15,Saskylakh,71.9167,114.0833,2.57,97,90,3.65,RU,2021-03-27 01:21:23
16,Alice Springs,-23.7,133.8833,87.01,32,1,3.44,AU,2021-03-27 01:21:23
17,Gachsaran,30.3586,50.7981,66.2,48,75,8.21,IR,2021-03-27 01:21:23
18,Ivanteyevka,55.9711,37.9208,39.2,75,0,8.95,RU,2021-03-27 01:21:24
19,Olafsvik,64.8945,-23.7142,18.32,65,99,10.36,IS,2021-03-27 01:21:24
20,Kaitangata,-46.2817,169.8464,63.0,77,100,1.01,NZ,2021-03-27 01:21:24
21,Upernavik,72.7868,-56.1549,-32.93,85,4,5.01,GL,2021-03-27 01:18:08
22,Ponta do Sol,32.6667,-17.1,61.0,65,42,1.99,PT,2021-03-27 01:21:24
23,Arraial do Cabo,-22.9661,-42.0278,78.8,78,0,9.22,BR,2021-03-27 01:21:25
24,Motygino,58.1831,94.7592,23.85,95,100,6.93,RU,2021-03-27 01:21:25
25,West Wendover,40.7391,-114.0733,50.0,29,20,11.5,US,2021-03-27 01:21:25
26,Ahipara,-35.1667,173.1667,69.84,73,100,15.55,NZ,2021-03-27 01:21:25
27,Madīnat Sittah Uktūbar,29.8167,31.05,51.8,58,75,5.75,EG,2021-03-27 01:21:26
28,College,64.8569,-147.8028,26.6,54,90,3.44,US,2021-03-27 01:21:26
29,Busselton,-33.65,115.3333,66.0,73,66,1.99,AU,2021-03-27 01:21:26
30,Kalmunai,7.4167,81.8167,78.64,87,87,1.36,LK,2021-03-27 01:21:26
31,Hong Kong,22.2855,114.1577,75.0,84,100,1.99,HK,2021-03-27 01:21:27
32,Punta Arenas,-53.15,-70.9167,48.2,71,75,8.05,CL,2021-03-27 01:21:27
33,São João da Barra,-21.6403,-41.0511,76.44,86,7,8.37,BR,2021-03-27 01:21:27
34,Cabo San Lucas,22.8909,-109.9124,73.4,52,40,11.5,MX,2021-03-27 01:17:43
35,Chāndpur,29.15,78.2667,63.75,25,0,3.22,IN,2021-03-27 01:21:27
36,Cape Town,-33.9258,18.4232,62.01,94,75,2.3,ZA,2021-03-27 01:21:28
37,Jamestown,42.097,-79.2353,44.01,93,90,9.31,US,2021-03-27 01:21:27
38,Hobart,-42.8794,147.3294,62.01,63,75,9.22,AU,2021-03-27 01:17:50
